T,Salt,Cs,fs,Cp,Gamma,Eta
25,NaCl,1,0.5,0.25,1.0,5.2873
25,NaCl,1,0.5,0.25,1.29,5.4651
25,NaCl,1,0.5,0.25,1.67,4.7818
25,NaCl,1,0.5,0.25,2.15,4.6893
25,NaCl,1,0.5,0.25,2.78,4.4184
25,NaCl,1,0.5,0.25,3.59,4.215
25,NaCl,1,0.5,0.25,4.64,3.9537
25,NaCl,1,0.5,0.25,5.99,3.7993
25,NaCl,1,0.5,0.25,7.74,3.5668
25,NaCl,1,0.5,0.25,10.0,3.3382
25,NaCl,1,0.5,0.25,12.9,3.1325
25,NaCl,1,0.5,0.25,16.7,2.9499
25,NaCl,1,0.5,0.25,21.5,2.7618
25,NaCl,1,0.5,0.25,27.8,2.6124
25,NaCl,1,0.5,0.25,35.9,2.4834
25,NaCl,1,0.5,0.25,46.4,2.3567
25,NaCl,1,0.5,0.25,59.9,2.2789
25,NaCl,1,0.5,0.25,77.4,2.1668
25,NaCl,1,0.5,0.25,100.0,2.1034
25,NaCl,1,0.5,0.4,0.1,11.597
25,NaCl,1,0.5,0.4,0.129,9.4134
25,NaCl,1,0.5,0.4,0.167,8.8388
25,NaCl,1,0.5,0.4,0.215,8.7471
25,NaCl,1,0.5,0.4,0.278,7.9797
25,NaCl,1,0.5,0.4,0.359,8.3391
25,NaCl,1,0.5,0.4,0.464,8.0692
25,NaCl,1,0.5,0.4,0.599,7.6166
25,NaCl,1,0.5,0.4,0.774,7.6103
25,NaCl,1,0.5,0.4,1.0,7.9362
25,NaCl,1,0.5,0.4,1.29,7.2349
25,NaCl,1,0.5,0.4,1.67,6.7565
25,NaCl,1,0.5,0.4,2.15,6.299
25,NaCl,1,0.5,0.4,2.78,6.1996
25,NaCl,1,0.5,0.4,3.59,5.6954
25,NaCl,1,0.5,0.4,4.64,5.4036
25,NaCl,1,0.5,0.4,5.99,4.9938
25,NaCl,1,0.5,0.4,7.74,4.6869
25,NaCl,1,0.5,0.4,10.0,4.3665
25,NaCl,1,0.5,0.4,12.9,4.0517
25,NaCl,1,0.5,0.4,16.7,3.7732
25,NaCl,1,0.5,0.4,21.5,3.5283
25,NaCl,1,0.5,0.4,27.8,3.2795
25,NaCl,1,0.5,0.4,35.9,3.0771
25,NaCl,1,0.5,0.4,46.4,2.8925
25,NaCl,1,0.5,0.4,59.9,2.7558
25,NaCl,1,0.5,0.4,77.4,2.6203
25,NaCl,1,0.5,0.4,100.0,2.4759
25,NaCl,1,0.5,0.15,1.0,1.6384
25,NaCl,1,0.5,0.15,1.29,1.9405
25,NaCl,1,0.5,0.15,1.67,2.1116
25,NaCl,1,0.5,0.15,2.15,1.7709
25,NaCl,1,0.5,0.15,2.78,1.9734
25,NaCl,1,0.5,0.15,3.59,1.767
25,NaCl,1,0.5,0.15,4.64,1.856
25,NaCl,1,0.5,0.15,5.99,1.7726
25,NaCl,1,0.5,0.15,7.74,1.7077
25,NaCl,1,0.5,0.15,10.0,1.6779
25,NaCl,1,0.5,0.15,12.9,1.6483
25,NaCl,1,0.5,0.15,16.7,1.6331
25,NaCl,1,0.5,0.15,21.5,1.595
25,NaCl,1,0.5,0.15,27.8,1.5805
25,NaCl,1,0.5,0.15,35.9,1.5539
25,NaCl,1,0.5,0.15,46.4,1.5588
25,NaCl,1,0.5,0.15,59.9,1.5351
25,NaCl,1,0.5,0.15,77.4,1.5537
25,NaCl,1,0.5,0.15,100.0,1.5294
25,NaCl,1,0.5,0.8,0.1,70.719
25,NaCl,1,0.5,0.8,0.129,68.567
25,NaCl,1,0.5,0.8,0.167,64.484
25,NaCl,1,0.5,0.8,0.215,59.898
25,NaCl,1,0.5,0.8,0.278,54.677
25,NaCl,1,0.5,0.8,0.359,50.946
25,NaCl,1,0.5,0.8,0.464,47.018
25,NaCl,1,0.5,0.8,0.599,43.078
25,NaCl,1,0.5,0.8,0.774,38.493
25,NaCl,1,0.5,0.8,1.0,34.068
25,NaCl,1,0.5,0.8,1.29,30.541
25,NaCl,1,0.5,0.8,1.67,27.132
25,NaCl,1,0.5,0.8,2.15,24.376
25,NaCl,1,0.5,0.8,2.78,21.464
25,NaCl,1,0.5,0.8,3.59,18.979
25,NaCl,1,0.5,0.8,4.64,16.793
25,NaCl,1,0.5,0.8,5.99,14.859
25,NaCl,1,0.5,0.8,7.74,13.1
25,NaCl,1,0.5,0.8,10.0,11.597
25,NaCl,1,0.5,0.8,12.9,10.273
25,NaCl,1,0.5,0.8,16.7,9.0955
25,NaCl,1,0.5,0.8,21.5,8.0505
25,NaCl,1,0.5,0.8,27.8,7.1801
25,NaCl,1,0.5,0.8,35.9,6.3865
25,NaCl,1,0.5,0.8,46.4,5.7011
25,NaCl,1,0.5,0.8,59.9,5.1344
25,NaCl,1,0.5,0.8,77.4,4.6256
25,NaCl,1,0.5,0.8,100.0,4.2458
25,NaCl,1,0.5,4.0,0.001,2174.9
25,NaCl,1,0.5,4.0,0.00129,2877.3
25,NaCl,1,0.5,4.0,0.00167,3206.9
25,NaCl,1,0.5,4.0,0.00215,3396.0
25,NaCl,1,0.5,4.0,0.00278,3522.1
25,NaCl,1,0.5,4.0,0.00359,3599.1
25,NaCl,1,0.5,4.0,0.00464,3597.6
25,NaCl,1,0.5,4.0,0.006,3529.4
25,NaCl,1,0.5,4.0,0.00774,3450.7
25,NaCl,1,0.5,4.0,0.01,3311.1
25,NaCl,1,0.5,4.0,0.0129,3153.5
25,NaCl,1,0.5,4.0,0.0167,2942.1
25,NaCl,1,0.5,4.0,0.0215,2723.7
25,NaCl,1,0.5,4.0,0.0278,2482.3
25,NaCl,1,0.5,4.0,0.0359,2234.2
25,NaCl,1,0.5,4.0,0.0464,1985.1
25,NaCl,1,0.5,4.0,0.0599,1746.1
25,NaCl,1,0.5,4.0,0.0774,1525.1
25,NaCl,1,0.5,4.0,0.1,1322.2
25,NaCl,1,0.5,4.0,0.129,1140.5
25,NaCl,1,0.5,4.0,0.167,974.56
