T,Salt,Cs,fs,Cp,Gamma,Eta,Formula_Group,Curve_Group
25,NaCl,1,0.5,0.25,1.0,5.2873,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,1.29,5.4651,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,1.67,4.7818,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,2.15,4.6893,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,2.78,4.4184,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,3.59,4.215,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,4.64,3.9537,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,5.99,3.7993,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,7.74,3.5668,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,10.0,3.3382,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,12.9,3.1325,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,16.7,2.9499,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,21.5,2.7618,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,27.8,2.6124,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,35.9,2.4834,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,46.4,2.3567,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,59.9,2.2789,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,77.4,2.1668,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.25,100.0,2.1034,NaCl|1|0.5|0.25,NaCl|1|0.5|0.25|25
25,NaCl,1,0.5,0.4,0.1,11.597,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.129,9.4134,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.167,8.8388,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.215,8.7471,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.278,7.9797,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.359,8.3391,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.464,8.0692,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
25,NaCl,1,0.5,0.4,0.599,7.6166,NaCl|1|0.5|0.4,NaCl|1|0.5|0.4|25
