T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,0.25,1.0,5.2873,5.045252111688319,4.9184604031033965,4.76913803457304,4.391324,15.039793557109896
25,NaCl,1,0.5,0.25,1.29,5.4651,5.045252111688319,4.89102987729313,4.6522721156011,4.52663,15.025125215225259
25,NaCl,1,0.5,0.25,1.67,4.7818,5.045252111688319,4.728279526867448,4.1716722900511645,4.0649943,15.005926281842665
25,NaCl,1,0.5,0.25,2.15,4.6893,5.045252111688319,4.687345070226945,4.128052099153956,4.0207167,14.981710059022951
25,NaCl,1,0.5,0.25,2.78,4.4184,3.979327960854755,4.564613756412886,3.980504779591936,3.8913915,14.949985562930808
25,NaCl,1,0.5,0.25,3.59,4.215,3.979327960854755,4.235419511213151,3.640453723862507,3.5386848,14.909295615942929
25,NaCl,1,0.5,0.25,4.64,3.9537,3.979327960854755,4.044365264238968,3.4548228268377543,3.3454545,14.856714173818489
25,NaCl,1,0.5,0.25,5.99,3.7993,3.979327960854755,3.8364833279690767,3.3367236708357173,3.1566048,14.789381856987035
25,NaCl,1,0.5,0.25,7.74,3.5668,3.979327960854755,3.6727926725107607,3.211141807937934,3.0413985,14.702553199083559
25,NaCl,1,0.5,0.25,10.0,3.3382,2.737913127378563,3.335627814669424,3.0573879711681107,2.9901853,14.59117402194258
25,NaCl,1,0.5,0.25,12.9,3.1325,2.737913127378563,3.0015259047008875,2.8756337794213453,2.7565482,14.449488947019464
25,NaCl,1,0.5,0.25,16.7,2.9499,2.737913127378563,2.8295513627621385,2.8277351458478037,2.7004147,14.265913072247454
25,NaCl,1,0.5,0.25,21.5,2.7618,2.737913127378563,2.690439225240018,2.709139143523893,2.682893,14.037357692231543
25,NaCl,1,0.5,0.25,27.8,2.6124,2.3270699413058766,2.51283684328203,2.6774165343457694,2.6026502,13.742926379579615
25,NaCl,1,0.5,0.25,35.9,2.4834,2.3270699413058766,2.4521539520242213,2.494149447753566,2.455181,13.373428062677709
25,NaCl,1,0.5,0.25,46.4,2.3567,2.3270699413058766,2.339401985374965,2.4454515028854673,2.4237528,12.909195217561438
25,NaCl,1,0.5,0.25,59.9,2.2789,2.3270699413058766,2.284135926998017,2.444357060503634,2.4252303,12.335924753548007
25,NaCl,1,0.5,0.25,77.4,2.1668,2.3270699413058766,2.237368220633036,2.4101757622715434,2.397677,11.6305186605068
25,NaCl,1,0.5,0.25,100.0,2.1034,2.3270699413058766,2.233784798397463,2.401773274051062,2.378949,10.778885496358331
25,NaCl,1,0.5,0.4,0.1,11.597,9.584895719988744,9.925432845782042,14.918358064778383,15.692691,15.263788207936825
25,NaCl,1,0.5,0.4,0.129,9.4134,9.584895719988744,9.284598431010643,16.223655688461182,16.14006,15.262298873738791
25,NaCl,1,0.5,0.4,0.167,8.8388,9.584895719988744,8.753593534579332,11.644764637066588,10.827192,15.260347552339047
25,NaCl,1,0.5,0.4,0.215,8.7471,9.584895719988744,8.883485976914857,10.279306404469388,10.965564,15.257883081902822
25,NaCl,1,0.5,0.4,0.278,7.9797,7.918078996405267,8.121523710785352,7.52395991000874,6.892652,15.254649068440829
25,NaCl,1,0.5,0.4,0.359,8.3391,7.918078996405267,8.057401993389687,7.259104923856633,6.8025327,15.250492058335565
25,NaCl,1,0.5,0.4,0.464,8.0692,7.918078996405267,8.038951303832768,7.775155971776317,7.5479035,15.245105027504838
25,NaCl,1,0.5,0.4,0.599,7.6166,7.918078996405267,7.885224925677672,7.350060307830926,7.5458183,15.238181641006276
25,NaCl,1,0.5,0.4,0.774,7.6103,7.918078996405267,7.815361879496592,7.350060307830926,6.9353375,15.229211560122726
25,NaCl,1,0.5,0.4,1.0,7.9362,6.856152029462025,7.417236292955669,6.239279850560259,6.138008,15.217635153727388
25,NaCl,1,0.5,0.4,1.29,7.2349,6.856152029462025,7.305186900025954,5.894701172350021,6.1632557,15.202793362564304
25,NaCl,1,0.5,0.4,1.67,6.7565,6.856152029462025,6.823002346402317,5.285753053085854,5.411645,15.183367406852371
25,NaCl,1,0.5,0.4,2.15,6.299,6.856152029462025,6.519387588159917,5.230483717150485,5.352698,15.158864833577507
25,NaCl,1,0.5,0.4,2.78,6.1996,6.856152029462025,6.218494421164821,5.043532624009845,5.180529,15.12676520367682
25,NaCl,1,0.5,0.4,3.59,5.6954,5.180611963289647,5.842449024483143,4.612668025581659,4.735978,15.085594108785472
25,NaCl,1,0.5,0.4,4.64,5.4036,5.180611963289647,5.548690569805611,4.267368007611797,4.44434,15.03239090496035
25,NaCl,1,0.5,0.4,5.99,4.9938,5.180611963289647,5.156498125979498,4.121492926512386,4.14121,14.9642624012209
25,NaCl,1,0.5,0.4,7.74,4.6869,5.180611963289647,4.884712605272833,3.921817693722716,3.9900694,14.876407017312504
25,NaCl,1,0.5,0.4,10.0,4.3665,4.54296891870767,4.442903592206712,3.686136143931482,3.9228818,14.763710810744385
25,NaCl,1,0.5,0.4,12.9,4.0517,4.54296891870767,4.163016426081963,3.4670044204384904,3.580879,14.620350347136885
25,NaCl,1,0.5,0.4,16.7,3.7732,3.876652021927984,3.9427338357815884,3.371171717042583,3.5079594,14.434603736008285
25,NaCl,1,0.5,0.4,21.5,3.5283,3.876652021927984,3.6725056460713414,3.2297838330408744,3.280366,14.203345748836027
25,NaCl,1,0.5,0.4,27.8,3.2795,3.2170471750167886,3.425903430646873,3.1919647455605187,2.9822483,13.905432863479161
25,NaCl,1,0.5,0.4,35.9,3.0771,3.2170471750167886,3.1992427146041633,2.9097448030538744,2.846228,13.531565326323282
25,NaCl,1,0.5,0.4,46.4,2.8925,3.2170471750167886,2.9668319837109545,2.765567573484655,2.7730815,13.061843050114472
25,NaCl,1,0.5,0.4,59.9,2.7558,2.750727109975108,2.854696167077102,2.74488232451177,2.6650662,12.481793813890734
25,NaCl,1,0.5,0.4,77.4,2.6203,2.750727109975108,2.659088001890614,2.7064985536371493,2.576808,11.768046479636748
25,NaCl,1,0.5,0.4,100.0,2.4759,2.6363911955834602,2.5953670289656623,2.697063008490743,2.5320807,10.90634297768282
25,NaCl,1,0.5,0.8,0.1,70.719,63.39631951429153,63.684690821718284,46.99869698755316,48.078342,15.749850834311108
25,NaCl,1,0.5,0.8,0.129,68.567,63.39631951429153,62.7049336027236,49.116682104593444,49.44897,15.748314073505604
25,NaCl,1,0.5,0.8,0.167,64.484,63.39631951429153,59.8440873191915,35.90873937517436,36.350292,15.746300613900615
25,NaCl,1,0.5,0.8,0.215,59.898,63.39631951429153,56.75319890626564,31.698101777060533,36.183598,15.743757664455345
25,NaCl,1,0.5,0.8,0.278,54.677,63.39631951429153,52.20890435501832,24.922153679351215,23.35185,15.740420666527394
25,NaCl,1,0.5,0.8,0.359,50.946,45.23313348592401,49.20203950698214,23.955641539072793,22.077755,15.736131279896584
25,NaCl,1,0.5,0.8,0.464,47.018,45.23313348592401,42.97095640686195,23.955641539072793,22.63711,15.730572703554465
25,NaCl,1,0.5,0.8,0.599,43.078,37.69960180611343,40.79088130171309,20.780596572280064,20.686974,15.723428847577491
25,NaCl,1,0.5,0.8,0.774,38.493,37.69960180611343,36.75784066838917,20.780596572280064,19.01333,15.714173121936977
25,NaCl,1,0.5,0.8,1.0,34.068,28.174952087832548,30.577757766607593,16.611911550514737,16.031237,15.702228074518846
25,NaCl,1,0.5,0.8,1.29,30.541,28.174952087832548,28.890088308171702,15.694480266500813,15.369258,15.686913658873914
25,NaCl,1,0.5,0.8,1.67,27.132,28.174952087832548,26.489105124861766,12.396877879623363,13.3097,15.666869099776992
25,NaCl,1,0.5,0.8,2.15,24.376,21.20949789439819,23.646655322180017,12.267252601787384,13.4213085,15.6415862624578
25,NaCl,1,0.5,0.8,2.78,21.464,21.20949789439819,20.566001201793096,11.828789085264678,12.6897,15.608464446570082
25,NaCl,1,0.5,0.8,3.59,18.979,15.700896742869183,17.320957753879558,10.827965243345792,11.265641,15.56598229244226
25,NaCl,1,0.5,0.8,4.64,16.793,15.700896742869183,15.916210391875296,10.017393883696977,10.122752,15.511084876889987
