T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.25,1.0,5.2873,5.4235100142238535,0.13621001422385337
25,NaCl,1,0.5,0.25,1.29,5.4651,5.346474314228281,0.11862568577171828
25,NaCl,1,0.5,0.25,1.67,4.7818,4.876882162796233,0.09508216279623305
25,NaCl,1,0.5,0.25,2.15,4.6893,4.678087073213265,0.011212926786734911
25,NaCl,1,0.5,0.25,2.78,4.4184,4.434421506530553,0.016021506530552898
25,NaCl,1,0.5,0.25,3.59,4.215,4.20708100310813,0.00791899689186959
25,NaCl,1,0.5,0.25,4.64,3.9537,3.9665869072509516,0.012886907250951651
25,NaCl,1,0.5,0.25,5.99,3.7993,3.7799374510827164,0.01936254891728373
25,NaCl,1,0.5,0.25,7.74,3.5668,3.552207538285743,0.014592461714256988
25,NaCl,1,0.5,0.25,10.0,3.3382,3.3196102669077847,0.018589733092215344
25,NaCl,1,0.5,0.25,12.9,3.1325,3.1277563747911117,0.004743625208888158
25,NaCl,1,0.5,0.25,16.7,2.9499,2.9396431452941094,0.01025685470589055
25,NaCl,1,0.5,0.25,21.5,2.7618,2.7608327096771137,0.0009672903228863383
25,NaCl,1,0.5,0.25,27.8,2.6124,2.5675672389971367,0.044832761002863375
25,NaCl,1,0.5,0.25,35.9,2.4834,2.3968693634197398,0.08653063658026028
25,NaCl,1,0.5,0.25,46.4,2.3567,2.3332221026806406,0.023477897319359453
25,NaCl,1,0.5,0.25,59.9,2.2789,2.266630335640947,0.012269664359052967
25,NaCl,1,0.5,0.25,77.4,2.1668,2.1664719826859353,0.0003280173140645104
25,NaCl,1,0.5,0.25,100.0,2.1034,2.0892869677219434,0.014113032278056714
25,NaCl,1,0.5,0.4,0.1,11.597,10.997835081288644,0.5991649187113559
25,NaCl,1,0.5,0.4,0.129,9.4134,9.88639405008921,0.4729940500892109
25,NaCl,1,0.5,0.4,0.167,8.8388,9.169451092267717,0.3306510922677166
25,NaCl,1,0.5,0.4,0.215,8.7471,8.762896551981255,0.01579655198125529
25,NaCl,1,0.5,0.4,0.278,7.9797,8.189988653143338,0.2102886531433379
25,NaCl,1,0.5,0.4,0.359,8.3391,8.238902424611712,0.10019757538828777
25,NaCl,1,0.5,0.4,0.464,8.0692,8.016070250470412,0.05312974952958882
25,NaCl,1,0.5,0.4,0.599,7.6166,7.962791391144983,0.3461913911449832
25,NaCl,1,0.5,0.4,0.774,7.6103,7.843116467670665,0.23281646767066544
25,NaCl,1,0.5,0.4,1.0,7.9362,7.807790324730209,0.12840967526979163
25,NaCl,1,0.5,0.4,1.29,7.2349,7.228292564590608,0.006607435409391904
25,NaCl,1,0.5,0.4,1.67,6.7565,6.573437909392516,0.1830620906074838
25,NaCl,1,0.5,0.4,2.15,6.299,6.297368009969776,0.0016319900302246282
25,NaCl,1,0.5,0.4,2.78,6.1996,6.11789348264521,0.08170651735479062
25,NaCl,1,0.5,0.4,3.59,5.6954,5.718479755623019,0.02307975562301845
25,NaCl,1,0.5,0.4,4.64,5.4036,5.377647621333998,0.025952378666001863
25,NaCl,1,0.5,0.4,5.99,4.9938,5.002624793525421,0.008824793525421093
25,NaCl,1,0.5,0.4,7.74,4.6869,4.686346657797282,0.0005533422027177437
25,NaCl,1,0.5,0.4,10.0,4.3665,4.361474158629952,0.005025841370048134
25,NaCl,1,0.5,0.4,12.9,4.0517,4.055574126946038,0.003874126946037393
25,NaCl,1,0.5,0.4,16.7,3.7732,3.7783682104577103,0.0051682104577102095
25,NaCl,1,0.5,0.4,21.5,3.5283,3.531448127911744,0.003148127911743792
25,NaCl,1,0.5,0.4,27.8,3.2795,3.2907503573155577,0.011250357315557569
25,NaCl,1,0.5,0.4,35.9,3.0771,3.0871149203044452,0.010014920304445063
25,NaCl,1,0.5,0.4,46.4,2.8925,2.8913757450555693,0.0011242549444308025
25,NaCl,1,0.5,0.4,59.9,2.7558,2.710912080174022,0.04488791982597773
25,NaCl,1,0.5,0.4,77.4,2.6203,2.447904373098924,0.1723956269010758
25,NaCl,1,0.5,0.4,100.0,2.4759,2.3966931116320076,0.07920688836799261
25,NaCl,1,0.5,0.8,0.1,70.719,68.73030031766433,1.988699682335664
25,NaCl,1,0.5,0.8,0.129,68.567,67.92264317167248,0.644356828327517
25,NaCl,1,0.5,0.8,0.167,64.484,64.0561488688229,0.4278511311770927
25,NaCl,1,0.5,0.8,0.215,59.898,59.69157350569409,0.20642649430591575
25,NaCl,1,0.5,0.8,0.278,54.677,54.216430652133354,0.4605693478666453
25,NaCl,1,0.5,0.8,0.359,50.946,50.081600824514325,0.8643991754856728
25,NaCl,1,0.5,0.8,0.464,47.018,46.359380179080325,0.6586198209196752
25,NaCl,1,0.5,0.8,0.599,43.078,42.70836022811304,0.3696397718869662
25,NaCl,1,0.5,0.8,0.774,38.493,38.35526192295656,0.1377380770434442
25,NaCl,1,0.5,0.8,1.0,34.068,33.777053911341916,0.2909460886580817
25,NaCl,1,0.5,0.8,1.29,30.541,30.083737232559574,0.45726276744042593
25,NaCl,1,0.5,0.8,1.67,27.132,26.997294939009684,0.1347050609903171
25,NaCl,1,0.5,0.8,2.15,24.376,23.66893686079269,0.7070631392073103
25,NaCl,1,0.5,0.8,2.78,21.464,21.625716269901574,0.16171626990157506
25,NaCl,1,0.5,0.8,3.59,18.979,19.114183934161016,0.1351839341610166
25,NaCl,1,0.5,0.8,4.64,16.793,16.86149657103874,0.06849657103873952
25,NaCl,1,0.5,0.8,5.99,14.859,14.909519818420684,0.05051981842068365
25,NaCl,1,0.5,0.8,7.74,13.1,13.138469731974583,0.038469731974583254
25,NaCl,1,0.5,0.8,10.0,11.597,11.57827127583869,0.018728724161309884
25,NaCl,1,0.5,0.8,12.9,10.273,10.213168353454014,0.059831646545985606
25,NaCl,1,0.5,0.8,16.7,9.0955,9.01115671892039,0.08434328107960987
25,NaCl,1,0.5,0.8,21.5,8.0505,7.937266864575868,0.1132331354241316
25,NaCl,1,0.5,0.8,27.8,7.1801,7.038280542229093,0.14181945777090732
25,NaCl,1,0.5,0.8,35.9,6.3865,6.280931213718552,0.10556878628144784
25,NaCl,1,0.5,0.8,46.4,5.7011,5.590165969510143,0.11093403048985717
25,NaCl,1,0.5,0.8,59.9,5.1344,5.030482204732517,0.10391779526748302
25,NaCl,1,0.5,0.8,77.4,4.6256,4.490922949338605,0.13467705066139501
25,NaCl,1,0.5,0.8,100.0,4.2458,4.085235194369488,0.16056480563051245
25,NaCl,1,0.5,4.0,0.001,2174.9,2394.3287526614267,219.42875266142664
25,NaCl,1,0.5,4.0,0.00129,2877.3,2927.7921334808193,50.49213348081912
25,NaCl,1,0.5,4.0,0.00167,3206.9,3195.5397157678185,11.360284232181584
25,NaCl,1,0.5,4.0,0.00215,3396.0,3401.9745176390334,5.974517639033365
25,NaCl,1,0.5,4.0,0.00278,3522.1,3490.2816066612345,31.818393338765418
25,NaCl,1,0.5,4.0,0.00359,3599.1,3568.6352170760897,30.464782923910207
25,NaCl,1,0.5,4.0,0.00464,3597.6,3571.758778902267,25.84122109773307
25,NaCl,1,0.5,4.0,0.006,3529.4,3513.1874859728214,16.212514027178713
25,NaCl,1,0.5,4.0,0.00774,3450.7,3433.4697251749712,17.230274825028573
25,NaCl,1,0.5,4.0,0.01,3311.1,3293.7409993133547,17.35900068664523
